State,Year,Deaths,Births,MMR
Kentucky,2023,19.0,51976.0,36.56
Louisiana,2018,15.0,59612.0,25.16
Louisiana,2019,15.0,58940.0,25.45
Louisiana,2020,32.0,57327.0,55.82
Louisiana,2021,41.0,57437.0,71.38
Louisiana,2022,13.0,56479.0,23.02
Louisiana,2023,17.0,54918.0,30.96
Maryland,2019,12.0,70170.0,17.1
Maryland,2020,10.0,68540.0,14.59
Maryland,2021,13.0,68282.0,19.04
Maryland,2022,14.0,68776.0,20.36
Massachusetts,2020,11.0,66425.0,16.56
Massachusetts,2022,10.0,68576.0,14.58
Michigan,2018,30.0,110018.0,27.27
Michigan,2019,31.0,107875.0,28.74
Michigan,2020,33.0,104065.0,31.71
Michigan,2021,30.0,104977.0,28.58
Michigan,2022,31.0,102313.0,30.3
Michigan,2023,15.0,99120.0,15.13
Minnesota,2021,13.0,64414.0,20.18
Mississippi,2019,16.0,36609.0,43.71
Mississippi,2020,10.0,35456.0,28.2
Mississippi,2021,22.0,35142.0,62.6
Mississippi,2022,12.0,34656.0,34.63
Mississippi,2023,12.0,34450.0,34.83
Missouri,2018,17.0,73254.0,23.21
Missouri,2020,36.0,69275.0,51.97
Missouri,2021,25.0,69447.0,36.0
Missouri,2022,13.0,68981.0,18.85
Missouri,2023,23.0,67118.0,34.27
New Jersey,2018,16.0,101219.0,15.81
New Jersey,2019,25.0,99580.0,25.11
New Jersey,2020,24.0,97950.0,24.5
New Jersey,2021,40.0,101492.0,39.41
New Jersey,2022,37.0,102889.0,35.96
New Jersey,2023,14.0,101000.0,13.86
New Mexico,2021,10.0,21381.0,46.77
New York,2018,56.0,226232.0,24.75
New York,2019,72.0,221536.0,32.5
New York,2020,65.0,209333.0,31.05
New York,2021,77.0,210734.0,36.54
New York,2022,65.0,207758.0,31.29
New York,2023,44.0,203605.0,21.61
North Carolina,2018,23.0,118942.0,19.34
North Carolina,2019,38.0,118716.0,32.01
North Carolina,2020,58.0,116717.0,49.69
North Carolina,2021,67.0,120451.0,55.62
North Carolina,2022,57.0,121543.0,46.9
North Carolina,2023,51.0,120069.0,42.48
Ohio,2018,18.0,135133.0,13.32
Ohio,2019,46.0,134442.0,34.22
Ohio,2020,42.0,129185.0,32.51
Ohio,2021,61.0,129781.0,47.0
Ohio,2022,51.0,128230.0,39.77
Ohio,2023,29.0,126890.0,22.85
Oklahoma,2018,12.0,49771.0,24.11
Oregon,2020,11.0,39811.0,27.63
Oregon,2021,11.0,40900.0,26.89
Oregon,2022,12.0,39493.0,30.39
Pennsylvania,2018,25.0,135668.0,18.43
Pennsylvania,2019,34.0,134221.0,25.33
Pennsylvania,2020,23.0,130690.0,17.6
Pennsylvania,2021,37.0,132617.0,27.9
Pennsylvania,2022,38.0,130244.0,29.18
Pennsylvania,2023,25.0,126942.0,19.69
South Carolina,2019,23.0,57031.0,40.33
South Carolina,2020,18.0,55700.0,32.32
South Carolina,2021,34.0,57183.0,59.46
South Carolina,2022,15.0,57812.0,25.95
Tennessee,2018,26.0,80739.0,32.2
Tennessee,2019,22.0,80448.0,27.35
Tennessee,2020,48.0,78684.0,61.0
Tennessee,2021,56.0,81705.0,68.54
Tennessee,2022,42.0,82257.0,51.06
Tennessee,2023,35.0,83014.0,42.16
Texas,2018,91.0,378617.0,24.03
Texas,2019,86.0,377595.0,22.78
Texas,2020,154.0,368183.0,41.83
Texas,2021,203.0,373580.0,54.34
Texas,2022,148.0,389734.0,37.97
Texas,2023,118.0,387944.0,30.42
Utah,2019,10.0,46826.0,21.36
Virginia,2019,26.0,97421.0,26.69
Virginia,2020,40.0,94744.0,42.22
Virginia,2021,51.0,95820.0,53.22
Virginia,2022,51.0,95623.0,53.33
Virginia,2023,24.0,92645.0,25.91
Washington,2018,13.0,86085.0,15.1
Washington,2019,17.0,84895.0,20.02
Washington,2021,12.0,83911.0,14.3
Washington,2023,11.0,80932.0,13.59
West Virginia,2018,10.0,18228.0,54.86
Wisconsin,2021,10.0,61759.0,16.19
Wisconsin,2022,15.0,60046.0,24.98
Wisconsin,2023,11.0,59746.0,18.41
